season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count
Spring,0,January,0,Sunday,0,Misty/Cloudy,8.175849,7.99925,80.58330000000001,9.947652,331,654,985
Spring,0,January,0,Monday,0,Misty/Cloudy,9.083466000000001,7.3467740000000035,69.6087,15.409418,131,670,801
Spring,0,January,0,Tuesday,1,Clear/Partly Cloudy,1.229108,-3.499270000000001,43.7273,15.395158,120,1229,1349
Spring,0,January,0,Wednesday,1,Clear/Partly Cloudy,1.4000000000000004,-1.9999479999999998,59.0435,9.938352,108,1454,1562
Spring,0,January,0,Thursday,1,Clear/Partly Cloudy,2.6669789999999995,-0.8681800000000006,43.695699999999995,11.587800000000001,82,1518,1600
Spring,0,January,0,Friday,1,Clear/Partly Cloudy,1.6043559999999992,-0.6082059999999991,51.8261,5.5530424,88,1518,1606
Spring,0,January,0,Saturday,1,Misty/Cloudy,1.2365340000000007,-2.2166259999999998,49.8696,10.461011999999998,148,1362,1510
Spring,0,January,0,Sunday,0,Misty/Cloudy,-0.24499999999999922,-5.291236,53.5833,16.541847999999998,68,891,959
Spring,0,January,0,Monday,0,Clear/Partly Cloudy,-1.4983489999999993,-8.33245,43.416700000000006,22.4409,54,768,822
Spring,0,January,0,Tuesday,1,Clear/Partly Cloudy,-0.9108490000000007,-6.041392,48.2917,13.842554,41,1280,1321
Spring,0,January,0,Wednesday,1,Misty/Cloudy,-0.0527230000000003,-3.3633760000000006,68.6364,7.572184,43,1220,1263
Spring,0,January,0,Thursday,1,Clear/Partly Cloudy,0.11816899999999997,-5.408782,59.954499999999996,18.886874,25,1137,1162
Spring,0,January,0,Friday,1,Clear/Partly Cloudy,-0.24499999999999922,-6.041722,47.0417,18.662,38,1368,1406
Spring,0,January,0,Saturday,1,Clear/Partly Cloudy,-0.43910999999999945,-3.5647420000000007,53.7826,7.845975999999999,54,1367,1421
Spring,0,January,0,Sunday,0,Misty/Cloudy,2.9666510000000006,0.3753920000000015,49.875,9.793706,222,1026,1248
Spring,0,January,0,Monday,0,Clear/Partly Cloudy,2.888349,-0.5416779999999992,48.375,11.682846,251,953,1204
Spring,0,January,1,Tuesday,0,Misty/Cloudy,0.264151,-4.333113999999998,53.75,12.029054,117,883,1000
Spring,0,January,0,Wednesday,1,Misty/Cloudy,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.10005,9,674,683
Spring,0,January,0,Thursday,1,Misty/Cloudy,5.732177999999999,3.695852000000002,74.1739,12.915654,78,1572,1650
Spring,0,January,0,Friday,1,Misty/Cloudy,4.298349,0.8333000000000013,53.833299999999994,12.146048,83,1844,1927
Spring,0,January,0,Saturday,1,Clear/Partly Cloudy,0.34249999999999936,-5.583022,45.7083,21.901004,75,1468,1543
Spring,0,January,0,Sunday,0,Clear/Partly Cloudy,-5.2208711999999995,-10.7814064,40.0,10.66214,93,888,981
Spring,0,January,0,Monday,0,Clear/Partly Cloudy,-3.4634801,-9.4766194,43.6522,15.289200000000001,150,836,986
Spring,0,January,0,Tuesday,1,Clear/Partly Cloudy,-3.4226089,-8.21662,49.173899999999996,9.81646,86,1330,1416
Spring,0,January,0,Wednesday,1,Misty/Cloudy,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.047352,186,1799,1985
Spring,0,January,0,Thursday,1,Light Snow/Rain,2.2225,-2.5624000000000002,86.25,18.2187,34,472,506
Spring,0,January,0,Friday,1,Clear/Partly Cloudy,1.165000000000001,-1.4998000000000005,68.75,7.057893999999999,15,416,431
Spring,0,January,0,Saturday,1,Misty/Cloudy,1.563466,-1.2610780000000013,79.30430000000001,7.6446000000000005,38,1129,1167
Spring,0,January,0,Sunday,0,Clear/Partly Cloudy,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.01263,123,975,1098
Spring,0,January,0,Monday,0,Clear/Partly Cloudy,2.176534,0.5212520000000005,72.2174,4.5869212,140,956,1096
